2025-09-30 15:19:38,142 |     INFO |             __init__:  60 | === Starting PDF Processing Run: 20250930_151938_140 ===
2025-09-30 15:19:38,143 |     INFO |            remap_pdf:  82 | Starting PDF remapping with 1 mappings in overlay mode
2025-09-30 15:19:38,144 |     INFO |        log_input_pdf:  67 | Input PDF saved: /Users/ashishrajshekhar/codex_code_glyph/runs/20250930_151938_140/input.pdf (34173 bytes)
2025-09-30 15:19:38,144 |     INFO |   log_mode_selection:  76 | Processing mode selected: overlay
2025-09-30 15:19:38,145 |     INFO |         log_mappings:  81 | Word mappings to apply: 1 total
2025-09-30 15:19:38,145 |     INFO |         log_mappings:  83 |   'multi-head' → 'single-head'
2025-09-30 15:19:38,145 |     INFO |         log_mappings:  81 | Word mappings to apply: 1 total
2025-09-30 15:19:38,145 |     INFO |         log_mappings:  83 |   'multi-head' → 'single-head'
2025-09-30 15:19:38,158 |     INFO | log_pattern_building:  99 | Building regex pattern for 1 words (ignore_case=True)
2025-09-30 15:19:38,158 |    DEBUG | log_pattern_building: 100 | Words to match: ['multi-head']
2025-09-30 15:19:38,158 |    DEBUG | log_pattern_building: 101 | Compiled pattern: multi\-head
2025-09-30 15:19:38,163 |     INFO | _apply_overlay_mode_mapping: 302 | Processing page 1 with 95 operations
2025-09-30 15:19:38,164 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'CSE 576 Quiz 7 Transformer Pretraining Quiz'
2025-09-30 15:19:38,164 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: '1. Which of the following best explains how multi-head attention improves contextual'
2025-09-30 15:19:38,164 |     INFO |     process_tj_array:  77 | TJ Array - Applied 1 replacements
2025-09-30 15:19:38,164 |     INFO |     process_tj_array:  79 |   'multi-head' → 'single-head' at positions 44-54
2025-09-30 15:19:38,164 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'understanding in Transformers?'
2025-09-30 15:19:38,165 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'A) By reducing the total number of parameters through parallelization'
2025-09-30 15:19:38,165 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'B) By enforcing uniform attention over the sequence to prevent bias'
2025-09-30 15:19:38,165 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'C) By increasing computation speed through batch-wise attention'
2025-09-30 15:19:38,165 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'D) By enabling diflerent heads to attend to diverse relational patterns across positions'
2025-09-30 15:19:38,165 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: '2. Which component of the Transformer architecture is exclusively utilized in GPT, mak-'
2025-09-30 15:19:38,165 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'ing it more suited for generative tasks?'
2025-09-30 15:19:38,165 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'A) Decoder layers with masked self-attention'
2025-09-30 15:19:38,165 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'B) Encoder layers for input sequence modeling'
2025-09-30 15:19:38,165 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'C) A hybrid encoder-decoder combination'
2025-09-30 15:19:38,165 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'D) A purely feed-forward architecture'
2025-09-30 15:19:38,165 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: '3. What design choice in GPT restricts it from leveraging full bidirectional context, and'
2025-09-30 15:19:38,165 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'what consequence does this have?'
2025-09-30 15:19:38,165 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'A) Encoder-based design; restricts output generation'
2025-09-30 15:19:38,166 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'B) Unidirectional left-to-right ow; limits full context understanding'
2025-09-30 15:19:38,166 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'C) Bidirectional masking; leads to context overfitting'
2025-09-30 15:19:38,166 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'D) Cross-attention dependencies; increase inference latency'
2025-09-30 15:19:38,166 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: '4. Which of the following best characterizes the training objectives that enable BERT to'
2025-09-30 15:19:38,166 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'capture both deep token-level context and inter-sentence semantics?'
2025-09-30 15:19:38,166 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'A) Predicting the next token in a left-to-right fashion using unidirectional context'
2025-09-30 15:19:38,166 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'B) Learning to generate a target sequence from an input sequence in an encoder-'
2025-09-30 15:19:38,166 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'decoder setup'
2025-09-30 15:19:38,166 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'C) Jointly optimizing masked token reconstruction and inter-sentence coherence dis-'
2025-09-30 15:19:38,166 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'crimination'
2025-09-30 15:19:38,166 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'D) Aligning image features with textual descriptions through cross-modal supervision'
2025-09-30 15:19:38,166 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'Short Answer Questions'
2025-09-30 15:19:38,166 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: '5. What are the potential drawbacks of the two-stage process of pretraining on large'
