2025-09-30 14:15:44,158 |     INFO |             __init__:  60 | === Starting PDF Processing Run: 20250930_141544_157 ===
2025-09-30 14:15:44,164 |     INFO |            remap_pdf:  82 | Starting PDF remapping with 1 mappings in overlay mode
2025-09-30 14:15:44,164 |     INFO |        log_input_pdf:  67 | Input PDF saved: /Users/ashishrajshekhar/codex_code_glyph/runs/20250930_141544_157/input.pdf (100635 bytes)
2025-09-30 14:15:44,164 |     INFO |   log_mode_selection:  76 | Processing mode selected: overlay
2025-09-30 14:15:44,164 |     INFO |         log_mappings:  81 | Word mappings to apply: 1 total
2025-09-30 14:15:44,164 |     INFO |         log_mappings:  83 |   'benefit' → 'demerit'
2025-09-30 14:15:44,164 |     INFO |         log_mappings:  81 | Word mappings to apply: 1 total
2025-09-30 14:15:44,165 |     INFO |         log_mappings:  83 |   'benefit' → 'demerit'
2025-09-30 14:15:44,180 |     INFO | log_pattern_building:  99 | Building regex pattern for 1 words (ignore_case=True)
2025-09-30 14:15:44,180 |    DEBUG | log_pattern_building: 100 | Words to match: ['benefit']
2025-09-30 14:15:44,180 |    DEBUG | log_pattern_building: 101 | Compiled pattern: benefit
2025-09-30 14:15:44,185 |     INFO | _apply_overlay_mode_mapping: 300 | Processing page 1 with 164 operations
2025-09-30 14:15:44,186 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'RNNsandLSTMQuiz'
2025-09-30 14:15:44,186 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'MultipleChoiceQuestions'
2025-09-30 14:15:44,186 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Q1.'
2025-09-30 14:15:44,186 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'WhatistheprimarybenefitofstackingmultipleRNNlayers(i.e.,stackedRNNs)?'
2025-09-30 14:15:44,186 |     INFO |     process_tj_array:  52 | TJ Array - Applied 1 replacements
2025-09-30 14:15:44,186 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'A.Fastertraining'
2025-09-30 14:15:44,186 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'B.Lowermemoryusage'
2025-09-30 14:15:44,186 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'C.Betterlearningofhierarchicalfeatures'
2025-09-30 14:15:44,186 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'D.Simplerarchitecture'
2025-09-30 14:15:44,186 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Q2.'
2025-09-30 14:15:44,186 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'WhichofthefollowingisthemainreasonRNNsstrugglewithlong-termdependencies?'
2025-09-30 14:15:44,186 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'A.Overfitting'
2025-09-30 14:15:44,186 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'B.Vanishinggradients'
2025-09-30 14:15:44,186 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'C.Lackofnon-linearity'
2025-09-30 14:15:44,186 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'D.Insuffcientdata'
2025-09-30 14:15:44,186 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Q3.'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'WhatdiflerentiatesanLSTMcellfromastandardRNNcell?'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'A.ItusesReLUinsteadoftanh'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'B.Itintroducesgatestocontroltheowofinformation'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'C.Ithasfewerparameters'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'D.Itisaconvolutionalarchitecture'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Q4.'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'InastandardLSTM,whichgateisresponsiblefordecidinghowmuchofthepastmemorytokeep?'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'A.Outputgate'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'B.Forgetgate'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'C.Inputgate'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'D.Updategate'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'DescriptiveQuestions'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Q5.'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'WhyistheforgetgatebiasinLSTMsofteninitializedtoahighvalue(e.g.,2or3)?Explainitseflectonlong-term'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'dependencylearning.'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Q6.'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'BidirectionalRNNsareoftenusedforPOStaggingbutnotmachinetranslation.Explainwhy,consideringinput-output'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'alignmentandcontextow.'
2025-09-30 14:15:44,187 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Q7.'
2025-09-30 14:15:44,188 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'DesigninganRNNmodelforvariable-lengthlegaldocumentswithlongdependencies:'
2025-09-30 14:15:44,188 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: '(a)ChoosebetweenvanillaRNNorLSTM.'
2025-09-30 14:15:44,188 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: '(b)Stacklayersorkeepitshallow?'
2025-09-30 14:15:44,188 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: '(c)Makeitbidirectional?'
2025-09-30 14:15:44,188 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Justifyeachchoicebasedonmodelbehaviorandtaskneeds.'
2025-09-30 14:15:44,188 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'Q8.'
2025-09-30 14:15:44,188 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'ConsideravanillaRNNwithrecurrentweightmatrix'
2025-09-30 14:15:44,188 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'W'
2025-09-30 14:15:44,188 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'h'
2025-09-30 14:15:44,188 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'andsequencelength50.Analyzegradientbehavior:'
2025-09-30 14:15:44,188 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: '(1)If'
2025-09-30 14:15:44,188 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'k'
2025-09-30 14:15:44,188 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'W'
2025-09-30 14:15:44,188 |    DEBUG |     process_tj_array:  45 | TJ Array - Combined text: 'h'
