2025-09-30 14:34:06,735 |     INFO |             __init__:  60 | === Starting PDF Processing Run: 20250930_143406_734 ===
2025-09-30 14:34:06,740 |     INFO |            remap_pdf:  82 | Starting PDF remapping with 1 mappings in overlay mode
2025-09-30 14:34:06,740 |     INFO |        log_input_pdf:  67 | Input PDF saved: /Users/ashishrajshekhar/codex_code_glyph/runs/20250930_143406_734/input.pdf (100635 bytes)
2025-09-30 14:34:06,741 |     INFO |   log_mode_selection:  76 | Processing mode selected: overlay
2025-09-30 14:34:06,741 |     INFO |         log_mappings:  81 | Word mappings to apply: 1 total
2025-09-30 14:34:06,741 |     INFO |         log_mappings:  83 |   'benefit' → 'flaw'
2025-09-30 14:34:06,741 |     INFO |         log_mappings:  81 | Word mappings to apply: 1 total
2025-09-30 14:34:06,741 |     INFO |         log_mappings:  83 |   'benefit' → 'flaw'
2025-09-30 14:34:06,757 |     INFO | log_pattern_building:  99 | Building regex pattern for 1 words (ignore_case=True)
2025-09-30 14:34:06,757 |    DEBUG | log_pattern_building: 100 | Words to match: ['benefit']
2025-09-30 14:34:06,757 |    DEBUG | log_pattern_building: 101 | Compiled pattern: benefit
2025-09-30 14:34:06,763 |     INFO | _apply_overlay_mode_mapping: 300 | Processing page 1 with 164 operations
2025-09-30 14:34:06,763 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'RNNs and LSTM Quiz'
2025-09-30 14:34:06,763 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'Multiple Choice Questions'
2025-09-30 14:34:06,763 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'Q1.'
2025-09-30 14:34:06,763 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'What is the primary benefit of stacking multiple RNN layers (i.e., stacked RNNs)?'
2025-09-30 14:34:06,763 |     INFO |     process_tj_array:  77 | TJ Array - Applied 1 replacements
2025-09-30 14:34:06,763 |     INFO |     process_tj_array:  79 |   'benefit' → 'flaw' at positions 20-27
2025-09-30 14:34:06,763 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'A. Faster training'
2025-09-30 14:34:06,763 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'B. Lower memory usage'
2025-09-30 14:34:06,763 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'C. Better learning of hierarchical features'
2025-09-30 14:34:06,763 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'D. Simpler architecture'
2025-09-30 14:34:06,763 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'Q2.'
2025-09-30 14:34:06,763 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'Which of the following is the main reason RNNs struggle with long-term dependencies?'
2025-09-30 14:34:06,764 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'A. Overfitting'
2025-09-30 14:34:06,764 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'B. Vanishing gradients'
2025-09-30 14:34:06,764 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'C. Lack of non-linearity'
2025-09-30 14:34:06,764 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'D. Insuffcient data'
2025-09-30 14:34:06,764 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'Q3.'
2025-09-30 14:34:06,764 |    DEBUG |     process_tj_array:  70 | TJ Array - Combined text: 'What diflerentiates an LSTM cell from a standard RNN cell?'
